table,variable,note,type
accident,accident_index,unique value for each accident. The accident_index combines the accident_year and accident_ref_no to form a unique ID. It can be used to join to Vehicle and Casualty,character
accident,accident_reference,"In year id used by the police to reference a collision. It is not unique outside of the year, use accident_index for linking to other years",character
accident,accident_severity,NA,character
accident,accident_year,NA,numeric
accident,carriageway_hazards,NA,character
accident,collision_index,unique value for each accident. The accident_index combines the accident_year and accident_ref_no to form a unique ID. It can be used to join to Vehicle and Casualty,character
accident,collision_reference,"In year id used by the police to reference a collision. It is not unique outside of the year, use accident_index for linking to other years",character
accident,collision_year,NA,numeric
accident,date,NA,character
accident,day_of_week,NA,character
accident,did_police_officer_attend_scene_of_accident,NA,character
accident,did_police_officer_attend_scene_of_collision,NA,character
accident,enhanced_collision_severity,category introduced where collected in 2023,character
accident,first_road_class,NA,character
accident,first_road_number,NA,character
accident,junction_control,NA,character
accident,junction_detail,NA,character
accident,latitude,Null if not known,numeric
accident,legacy_collision_severity,NA,character
accident,light_conditions,NA,character
accident,local_authority_district,NA,character
accident,local_authority_highway,NA,character
accident,local_authority_ons_district,NA,character
accident,location_easting_osgr,Null if not known,numeric
accident,location_northing_osgr,Null if not known,numeric
accident,longitude,Null if not known,numeric
accident,lsoa_of_accident_location,England and Wales only. See Office for National Statistics (ONS) guidance: https://www.ons.gov.uk/methodology/geography/ukgeographies/censusgeography,character
accident,lsoa_of_collision_location,England and Wales only. See Office for National Statistics (ONS) guidance: https://www.ons.gov.uk/methodology/geography/ukgeographies/censusgeography,character
accident,number_of_casualties,NA,character
accident,number_of_vehicles,NA,character
accident,pedestrian_crossing_human_control,NA,character
accident,pedestrian_crossing_physical_facilities,NA,character
accident,police_force,NA,character
accident,road_surface_conditions,NA,character
accident,road_type,NA,character
accident,second_road_class,NA,character
accident,second_road_number,NA,character
accident,special_conditions_at_site,NA,character
accident,speed_limit,"20,30,40,50,60,70 are the only valid speed limits on public highways",character
accident,time,Null if not known,character
accident,trunk_road_flag,NA,character
accident,urban_or_rural_area,field introduced in 1994,character
accident,weather_conditions,NA,character
casualty,accident_index,unique value for each accident. The accident_index combines the accident_year and accident_ref_no to form a unique ID. It can be used to join to Vehicle and Casualty,character
casualty,accident_reference,"In year id used by the police to reference a collision. It is not unique outside of the year, use accident_index for linking to other years",character
casualty,accident_year,NA,numeric
casualty,age_band_of_casualty,NA,character
casualty,age_of_casualty,NA,numeric
casualty,bus_or_coach_passenger,NA,character
casualty,car_passenger,NA,character
casualty,casualty_class,NA,character
casualty,casualty_distance_banding,field introduced in 2023,character
casualty,casualty_home_area_type,field introduced in 1999,character
casualty,casualty_imd_decile,field introduced in 2016,character
casualty,casualty_reference,unique value for each casualty in a singular accident (historical years may be unique to a singular vehicle in a road accident),character
casualty,casualty_severity,NA,character
casualty,casualty_type,NA,character
casualty,collision_index,NA,character
casualty,collision_reference,NA,character
casualty,collision_year,NA,numeric
casualty,enhanced_casualty_severity,category introduced where collected in 2023,character
casualty,lsoa_of_casualty,England and Wales only. See Office for National Statistics (ONS) guidance: https://www.ons.gov.uk/methodology/geography/ukgeographies/censusgeography,character
casualty,pedestrian_location,NA,character
casualty,pedestrian_movement,NA,character
casualty,pedestrian_road_maintenance_worker,NA,character
casualty,sex_of_casualty,NA,character
casualty,vehicle_reference,unique value for each vehicle in a singular accident. Can be used to join a Casualty to a vehicle,character
casualty_adjustment,accident_index,NA,character
casualty_adjustment,accident_reference,"In year id used by the police to reference a collision. It is not unique outside of the year, use accident_index for linking to other years",character
casualty_adjustment,accident_year,NA,numeric
casualty_adjustment,adjusted_serious,unique value for each casualty in a singular accident (historical years may be unique to a singular vehicle in a road accident),numeric
casualty_adjustment,adjusted_slight,NA,numeric
casualty_adjustment,casualty_reference,unique value for each vehicle in a singular accident. Can be used to join a Casualty to a vehicle,character
casualty_adjustment,injury_based,NA,character
casualty_adjustment,vehicle_reference,unique value for each accident. The accident_index combines the accident_year and accident_ref_no to form a unique ID. It can be used to join to Vehicle and Casualty,character
collision_adjustment,accident_index,unique value for each accident. The accident_index combines the accident_year and accident_ref_no to form a unique ID. It can be used to join to Vehicle and Casualty,character
collision_adjustment,accident_reference,"In year id used by the police to reference a collision. It is not unique outside of the year, use accident_index for linking to other years",character
collision_adjustment,accident_year,NA,numeric
collision_adjustment,adjusted_serious,NA,numeric
collision_adjustment,adjusted_slight,NA,numeric
collision_adjustment,injury_based,NA,character
historical_revisions,accident_index,unique value for each accident. The accident_index combines the accident_year and accident_ref_no to form a unique ID. It can be used to join to Vehicle and Casualty,character
historical_revisions,accident_ref_no,"In year id used by the police to reference a collision. It is not unique outside of the year, use accident_index for linking to other years",character
historical_revisions,accident_year,NA,numeric
historical_revisions,casualty_reference,unique value for each casualty in a singular accident (historical years may be unique to a singular vehicle in a road accident),character
